Name,Cuisine,Link to Instagram Post,Link to Website,Location(s),Meal Type,Overall Rating,Price (pp),Size Rating 😍,Standout Menu Items,Vibes,Visited?
Juan Bowl & Tea,Japanese,https://www.instagram.com/p/CQf63tEn_Mx/?utm_source=ig_web_copy_link,N/A,Redfern,"Dinner, Lunch",9,$$,8,"Tonkatsu, Unagi Hitsumabushi, Wagyu, Sakura matcha Tiramisu","Date, Dine-In, Small Groups, Upscale Dining",Yes
Lox in a Box,"German, Polish",https://www.instagram.com/p/CMZFT7unEzb/?utm_source=ig_web_copy_link,https://www.loxinabox.com.au/,Bondi,"Breakfast, Brunch, Lunch",8,$,7,"Schnitz Bagel, Classic Lox Bagel","Casual Dining, Takeaway",Yes
Platform Eighty-Two,American,https://www.instagram.com/p/CMRYeJWswFH/?utm_source=ig_web_copy_link,https://www.platform82.com.au/,Concord West,Brunch,7,$$,10,"Breakfast Platter, American Platter","Casual Dining, Dine-In, Small Groups",Yes
Jimmy's Falafel,Middle Eastern,https://www.instagram.com/p/CNb1Y6Un_4-/?utm_source=ig_web_copy_link,https://merivale.com/venues/jimmys-falafel/,CBD,"Dinner, Lunch",8,"$, $$",8,"The Original Pita, Beef Shish","Casual Dining, Dine-In, Small Groups, Takeaway",Yes
Albee's Kitchen,Malaysian,https://www.instagram.com/p/CNFCwpYHxI1/?utm_source=ig_web_copy_link,https://albeeskitchen.com.au/,"Campsie, Kingsford","Dinner, Lunch",8,$,9,"Hainanese Chicken Laksa, Combination Crispy Noodle","Casual Dining, Dine-In, Larger Groups, Takeaway",Yes
5th Earl,Cafe,https://www.instagram.com/p/CM1fit9HjZ3/?utm_source=ig_web_copy_link,https://www.the5thearlrosebery.com/,Rosebery,"Breakfast, Brunch, Lunch",9,$$,9,"Breakfast Burger, Earl’s Burger, The Earl’s Breakfast, Brioche French Toast","Casual Dining, Dine-In, Small Groups",Yes
The Italian Bowl,Italian,https://www.instagram.com/p/CM9XiaCnBY4/?utm_source=ig_web_copy_link,https://theitalianbowl.com.au/,Newtown,"Dinner, Lunch",8,$$,9,Boscaiola,"Casual Dining, Dine-In, Small Groups",Yes
Chargrill Charlie's,"American, Western",https://www.instagram.com/p/CN4X_xjHTWD/?utm_source=ig_web_copy_link,https://chargrillcharlies.com/,"Annandale, Beecroft, Bondi, Coogee, Dee Why, Drummoyne, Frenchs Forest, Lane Cove, Mona Vale, Mosman, Neutral Bay, Randwick, Rose Bay, St Ives, Wahroonga, Willoughby, Woollahra","Dinner, Lunch",8,$,9,"Traditional Baked Dinner, 1/2 Chicken, Sweet Potato Wedges","Casual Dining, Takeaway",Yes
Bar Luca,American,https://www.instagram.com/p/COKhjRpHLYP/?utm_source=ig_web_copy_link,https://barluca.com.au/,"CBD, Darlinghurst, Newtown, Parramatta","Dinner, Lunch",10,$$,10,"Blame Canada, Mac Daddy, Mr Truffle","Casual Dining, Dine-In, Small Groups",Yes
Terra Cotta Roasters,Cafe,https://www.instagram.com/p/COpcU3bNZgt/?utm_source=ig_web_copy_link,https://terracottaroasters.com/,"Alexandria, Darlington","Breakfast, Brunch, Lunch",8,$,7,Morning Burger,"Casual Dining, Dine-In, Small Groups, Takeaway",Yes
RaRa Ramen,Japanese,https://www.instagram.com/p/COhfpV1nOd3/?utm_source=ig_web_copy_link,https://www.rararamen.com.au/,"Randwick, Redfern","Dinner, Lunch",9,"$, $$",9,Tonkotsu Black Garlic,"Casual Dining, Date, Dine-In",Yes
"Shuk ",Israeli,https://www.instagram.com/p/CNmpEyMHYrA/?utm_source=ig_web_copy_link,https://www.shuk.com.au/,"Bondi, Chatswood, Elizabeth Bay","Breakfast, Brunch, Lunch",9,$$,9,"The Israeli Breakfast, Bacon and Egg Roll ","Casual Dining, Dine-In, Small Groups",Yes
Johnny Bird,American,https://www.instagram.com/p/CPe3H-6t8st/?utm_source=ig_web_copy_link,https://johnnybird.com.au/,Crows Nest,"Dinner, Lunch",8,"$, $$",7,Cheesy-B,"Casual Dining, Dine-In, Small Groups, Takeaway",Yes
Stacks Burger House & Eatery,American,N/A,https://www.stackseatery.com.au/,,,,,,,,No
Hurricanes Grill,"Modern Australian, South African",https://www.instagram.com/p/CPAvmpdHgv_/?utm_source=ig_web_copy_link,https://hurricanesgrillrestaurants.com.au/darling-harbour/,"Brighton Le Sands, Circular Quay, Darling Harbour","Dinner, Lunch",9,"$$, $$$",10,Pork Ribs,"Dine-In, Larger Groups, Upscale Dining",Yes
Social Brew Cafe,Cafe,https://www.instagram.com/p/CQQRC-FtvXy/?utm_source=ig_web_copy_link,https://www.socialbrewcafe.com.au/,Pyrmont,"Breakfast, Brunch",8,$$,8,"Smoked Salmon & Avo, Mushroom & Parmesan Bruschetta, Ricotta Hotcakes","Casual Dining, Dine-In, Small Groups",Yes
Cedric's,Cafe,https://www.instagram.com/p/CWFqiRLvym5/?utm_source=ig_web_copy_link,https://www.regentplace.com.au/cedrics,CBD,"Breakfast, Brunch, Dinner, Lunch",8,"$$, $$$",8,"Wagyu Ribeye Steak, Sydney Rock Oysters, Fremantle Octopus Escabeche, Tiramisu, Fries","Casual Dining, Date, Upscale Dining",Yes
Gogyo,Japanese,N/A,http://ippudo.com.au/gogyo/,CBD,"Dinner, Lunch",,,,,,No
Burger Anonymous,American,N/A,,"Ashfield, Balmain, Campsie, Darlinghurst, Fairfield, Sydenham","Dinner, Lunch",,$$,,,"Casual Dining, Takeaway",Yes
Burger 10,Multi Cuisine,https://www.instagram.com/p/CaBwNn5PjVY/?utm_source=ig_web_copy_link,https://www.burger10.com.au/,Randwick,"Dinner, Lunch",6,$,7,"Cheesegasm Double, Fried Chicken","Casual Dining, Dine-In, Small Groups, Takeaway",Yes
Messina,Italian,N/A,https://gelatomessina.com/,"Darling Harbour, Rosebery",Dessert,9,$,7,"Tiramisu, Mango","Casual Dining, Takeaway",Yes
Lumi Dining,"Italian, Japanese",N/A,https://www.lumidining.com/,Pyrmont,"Dinner, Lunch",10,$$$$$,6,,"Date, Dine-In, Fine Dining, Small Groups",Yes
Hubert,French,https://www.instagram.com/p/CbmnrXVvwvG/?utm_source=ig_web_copy_link,https://swillhouse.com/venues/restaurant-hubert/,CBD,Dinner,9,"$$$, $$$$",7,"Escargots XO, Prime Beef Tartare, Duck Parfait, Gnocchi Parisienne, Murray Cod à la Hubert, Duck à l’Orange Chateaubriand, Pommes Anna, Mille-Feuille aux Pommes, Crème Caramel, Hubert’s Gâteau au Chocolat","Date, Dine-In, Larger Groups, Small Groups, Upscale Dining",Yes
Sushi Tengoku,Japanese,https://www.instagram.com/p/CaHFN0sv2hg/?utm_source=ig_web_copy_link,N/A,Kensington,"Dinner, Lunch",9,$$,9,"Aburi Salmon, Tamago Nigiri, Softshell Crab Sushi Roll, Inari Sushi","Casual Dining, Dine-In, Small Groups",Yes
Maranello’s,Italian,https://www.instagram.com/p/CZ1Ki_wPNOW/?utm_source=ig_web_copy_link,https://maranellos.com.au/,"Concord, Croydon Park, Maroubra, Summer Hills","Dinner, Lunch",8,$$,9,"Large Maranello’s Pizza, Spaghetti Con Polpette","Casual Dining, Dine-In, Larger Groups",Yes
Bennelong,Modern Australian,N/A,https://www.bennelong.com.au/,Circular Quay,"Dinner, Lunch",,$$$$$,,,"Date, Dine-In, Fine Dining, Small Groups",No
Sekka Dining,Japanese,https://www.instagram.com/p/CZqob21PYDn/?utm_source=ig_web_copy_link,https://www.sekkadining.com.au/,St Leonards,"Dinner, Lunch",9,$$,8,"Jidori Chicken Shio Ramen, Big Boy Pork Gyoza","Casual Dining, Dine-In, Small Groups",Yes
Nandos,Portugese,https://www.instagram.com/p/CZtddDNvvmI/?utm_source=ig_web_copy_link,https://www.nandos.com.au/,Chatswood,"Dinner, Lunch",9,$,8,2 Whole Peri Peri Chickens + 2 Large Sides (Coleslaw/Sweet Potato Chips),"Casual Dining, Dine-In, Small Groups, Takeaway",Yes
Pho An,Vietnamese,https://www.instagram.com/p/CXa1m3zgTHN/?utm_source=ig_web_copy_link,http://www.anrestaurant.com.au/,Bankstown,"Dinner, Lunch",8,$,9,Pho Dac Biet,"Casual Dining, Dine-In, Small Groups",Yes
Slim’s Quality Burger,American,https://www.instagram.com/p/CYs7DShP9lh/?utm_source=ig_web_copy_link,https://www.slimsqualityburger.com/,Marrickville,"Dinner, Lunch",7,"$, $$",6,"Large Family Pack, Deluxe Cheeseburger, Slim’s Original Crispy Chicken, Slim’s Original","Casual Dining, Dine-In, Takeaway",Yes
Smokey Sue’s,Western,https://www.instagram.com/p/CWnQ7RQvnbR/?utm_source=ig_web_copy_link,https://www.smokysues.com.au/,Maroubra,"Dinner, Lunch",8,$$,10,"Ribby McRibface, 2 Meat Platter (Beef Short Rib, Pulled Pork), Loaded Fries, Sweet Potato Wedges","Casual Dining, Dine-In, Larger Groups",Yes
Mr Stonepot,Chinese,https://www.instagram.com/p/CW5XTzMv8cx/?utm_source=ig_web_copy_link,N/A,Chatswood,"Dinner, Lunch",9,$$,9,"Mussels & Garlic Prawn with Stir Fried Rice in Squid Ink Sauce, Stir Fried Rice Noodle with Clam Meat in XO Sauce, Beef Spare Ribs with Black Pepper & Japanese Wasabi, Pan Fried Pork Bun","Casual Dining, Dine-In, Small Groups",Yes
Ribs & Burgers,"American, Modern Australian",https://www.instagram.com/p/CWMs6SXP9oA/?utm_source=ig_web_copy_link,https://ribsandburgers.com/au/,"Chatswood, Chippendale, Drummoyne, Eastgardens, Neutral Bay, Randwick, Rhodes, The Rocks, Zetland","Dinner, Lunch",8,"$, $$",9,"Double Loaded Burger, Chips","Casual Dining, Dine-In, Larger Groups",Yes
Happy Ending Burger,Multi Cuisine,https://www.instagram.com/p/CVxJ6EDPENc/?utm_source=ig_web_copy_link,https://www.happyendingburgers.com.au/,Concord,"Dinner, Lunch",7,$,7,Psychedelics Burger,"Casual Dining, Dine-In, Small Groups, Takeaway",Yes
6Head,Modern Australian,https://www.instagram.com/p/CVkZjmDvgIU/?utm_source=ig_web_copy_link,https://6head.com.au/,Darling Harbour,"Dinner, Lunch",10,$$$$,10,"Tomahawk 1.5kg, T-Bone 1.2kg, Oberon Lamb Tartare, Flank Flatbread, Crab & Prawn Cocktail, Octopus Roll","Date, Dine-In, Fine Dining, Larger Groups",Yes
Gumshara Ramen,Japanese,https://www.instagram.com/p/CVcdkk4PDme/?utm_source=ig_web_copy_link,https://gumshara.com/,Haymarket,"Dinner, Lunch",8,$$,9,Large Mega Ramen,"Casual Dining, Dine-In, Small Groups",Yes
Bake Bar,Cafe,https://www.instagram.com/p/CVPrqaLPMM8/?utm_source=ig_web_copy_link,https://bakebar.com.au/,"Double Bay, Randwick, Rose Bay","Breakfast, Brunch, Lunch",8,$,6,Bacon & Egg Roll,"Casual Dining, Dine-In, Small Groups, Takeaway",Yes
Old Garden Kaffee,Cafe,https://www.instagram.com/p/CRla2DAtL9m/?utm_source=ig_web_copy_link,N/A,CBD,Dessert,8,$,8,Watermelon and Vanilla Ice Cream Bingsu,"Casual Dining, Dine-In, Small Groups",Yes
Gavroche,French,https://www.instagram.com/p/CQnoLz2nwxb/?utm_source=ig_web_copy_link,https://gavroche.com.au/,Chippendale,"Dinner, Lunch",9,$$$,7,"Tournedos Rossini, Escargot De Bourgogne, Paris Breast","Date, Dine-In, Larger Groups, Small Groups, Upscale Dining",Yes
Butter,"American, Japanese",https://www.instagram.com/p/CQS_m5SNuAd/?utm_source=ig_web_copy_link,https://buttersydney.com.au/,"Chatswood, Parramatta, Surry Hills","Dinner, Lunch",9,$$,8,"Boom Box (OG, Master Spice, BLTC, Biggie Shroom) , Poutine, Fried Chicken & Donut ","Casual Dining, Dine-In, Small Groups",Yes
NOMAD,Middle Eastern,https://www.instagram.com/p/CgJgCxxP7ms/?utm_source=ig_web_copy_link,https://nomad.sydney/,Surry Hills,"Dinner, Lunch",9,"$$$, $$$$",8,Feast Menu,"Date, Dine-In, Small Groups, Upscale Dining",Yes
Kickin Inn,,N/A,,Zetland,"Dinner, Lunch",,,,,,No
Kokoroya,Japanese,N/A,http://kokoroya.com.au/,Maroubra,"Dinner, Lunch",9,$$,7,"Softshell Crab Sushi Roll, Agedashi Tofu","Casual Dining, Dine-In",Yes
Glass Brasserie,French,N/A,https://www.glassbrasserie.com.au/,CBD,"Dinner, Lunch",9,$$$$,7,,"Date, Dine-In, Fine Dining, Small Groups",Yes
Devon,,N/A,,"Barangaroo, North Sydney, Surry Hills","Breakfast, Brunch, Lunch",,,,,,No
"Nel. Restaurant ",Modern Australian,N/A,,,,,,,,,No
Zodiac RnB,,N/A,,Strathfield,,,,,,,No
Tao Restaurant,Chinese,https://www.instagram.com/p/Cal9AT-v8pE/?utm_source=ig_web_copy_link,https://www.taosydney.com.au/,CBD,Dinner,8,$$$,7,"Wok Fried Clam, Kung Pao Chicken, Soft Shell Crab, Pork & Chive Dumplings","Date, Dine-In, Small Groups, Upscale Dining",Yes
El Jannah’s,Middle Eastern,N/A,https://eljannah.com.au/,"Blacktown, Burwood, Campbelltown, Earlwood, Granville, Gregory Hills, Kogarah, Newtown, Penrith, Punchbowl, Smithfield","Dinner, Lunch",8,$,8,Family Meal,"Casual Dining, Dine-In, Small Groups, Takeaway",Yes
The General,Cafe,N/A,,Dulwich Hill,"Breakfast, Brunch, Lunch",,,,,,No
Pina,Cafe,https://www.instagram.com/p/CaOuj_fPhEe/?utm_source=ig_web_copy_link,https://order.pinapottspoint.com.au/,Potts Point,"Breakfast, Brunch, Lunch",9,$$,8,"Bubbly Iced Mocha, Scrambled Egg & Toast, Wagyu Pastrami Bagel. Fried Chicken Burger","Casual Dining, Dine-In, Small Groups, Takeaway",Yes
BenBry Burgers,American,https://www.instagram.com/p/CaMUMFEPf7v/?utm_source=ig_web_copy_link,N/A,Manly,"Dinner, Lunch",8,"$, $$",9,The Business Combo,"Casual Dining, Dine-In, Small Groups, Takeaway",Yes
The Apollo,Greek,N/A,http://www.theapollo.com.au/,Potts Point,"Dinner, Lunch",,,,,Upscale Dining,No
Emma’s Snack Bar,,N/A,,,,,,,,,No
Two Chaps,Mediterranean,N/A,https://www.twochaps.com.au/,Marrickville,"Brunch, Dinner, Lunch",8,$$,7,,Upscale Dining,Yes
Nugu,Korean,N/A,,CBD,,,,,,,No
Mjolner,Middle Eastern,https://www.instagram.com/p/CaWnirRP5KY/?utm_source=ig_web_copy_link,https://mjolner.com.au/,Redfern,Dinner,8,$$$,8,"Beast (Pork Belly), Bird (Whole), Fish, Beast (Beef), Boar (Special), Roast Bone Marrow, Crispy Broccoli","Dine-In, Larger Groups, Small Groups, Upscale Dining",Yes
The Little Snail,French,N/A,https://thelittlesnail.com.au/,Pyrmont,Dinner,8,$$$,7,"Pate Maison, Fillet of Beef Tenderloin, Warm Sticky Date Pudding, Handmade Profiterole","Date, Dine-In, Small Groups, Upscale Dining",Yes
Franca Brasserie & Bar,French,N/A,,Potts Point,"Dinner, Lunch",9,$$$,7,,"Date, Dine-In, Upscale Dining",Yes
Eggshellent,Cafe,N/A,https://www.facebook.com/eggshellentcafe/,Randwick,"Brunch, Lunch",9,$$,7,,"Casual Dining, Small Groups, Takeaway",Yes
Chefs Gallery,Chinese,N/A,https://www.chefsgallery.com.au/,CBD,"Dinner, Lunch",9,$$,8,Peking Duck Roti,"Casual Dining, Dine-In, Larger Groups, Small Groups",Yes
Tetsuyas,"French, Japanese",N/A,https://www.tetsuyas.com/,CBD,"Dinner, Lunch",10,$$$$$,7,,"Date, Dine-In, Fine Dining, Small Groups",Yes
The Bavarian,German,N/A,https://www.thebavarians.com/,CBD,"Dinner, Lunch",8,$$,10,Pork Knuckle,"Casual Dining, Dine-In, Larger Groups, Small Groups, Upscale Dining",Yes
Cafe Crop,Korean,N/A,https://cafe-crop.business.site/,Strathfield,Dessert,8,$$,9,"Mango Bingsu, Melon Bingsu","Casual Dining, Dine-In, Small Groups, Takeaway",Yes
Kanzai Japanese Restaurant,Japanese,N/A,http://kansai.com.au/,CBD,"Dinner, Lunch",8,$$,10,AYCE Buffet,"Casual Dining, Dine-In, Small Groups",Yes
Kobe Wagyu,Japanese,"N/A
",http://www.kobewagyubbq.com.au/,CBD,"Dinner, Lunch",9,$$$,10,AYCE Buffet,"Dine-In, Larger Groups, Small Groups, Upscale Dining",Yes
Bondi Pizza,Italian,,https://www.bondipizza.com.au/,"Eastgardens, Macquarie, Parramatta","Dinner, Lunch",8,$$,8,"Grilled Chilli Prawn Pizza, Chargrilled Lamb Pizza, Classic Supreme Pizza","Dine-In, Larger Groups, Small Groups, Upscale Dining",Yes
The Savoury Dining,Vietnamese,N/A,https://www.thesavourydining.com.au/,North Strathfield,Dinner,7,$$,10,Vietnamese Tapas Buffet,"Dine-In, Larger Groups, Small Groups, Upscale Dining",Yes
