Name,Cuisine,Link to Instagram Post,Link to Website,Location(s),Meal Type,Overall Rating,Price (pp),Size Rating 😍,Standout Menu Items,Vibes,Visited?
Mango Coco,Thai,N/A,https://www.mangococo.com.au/,CBD,Dessert,8,$,9,"Mango Sticky Rice, Thai Bingsu","Casual Dining, Dine-In, Small Groups",Yes
Niji Sushi,Japanese,N/A,https://www.niji.com.au/,Kingsford,"Dinner, Lunch",8,$$,7,,"Casual Dining, Dine-In, Small Groups, Takeaway",Yes
Kujira,Japanese,N/A,,Ashfield,"Dinner, Lunch",8,$$,7,,"Casual Dining, Dine-In, Small Groups, Takeaway",Yes
Via Napoli,Italian,N/A,https://vianapoli.com.au/,Surry Hills,"Dinner, Lunch",8,$$,8,,"Casual Dining, Dine-In, Larger Groups, Small Groups",Yes
Kurtosh,Hungarian,N/A,https://kurtosh.com.au/,"Crows Nest, Darling Square, Haymarket, Marrickville, Randwick, Surry Hills",Dessert,9,$,7,,"Casual Dining, Dine-In, Small Groups, Takeaway",Yes
Garcon,,N/A,,,,,,,,,No
Marrickville Pork Roll,Vietnamese,N/A,,Marrickville,Lunch,8,$,9,"BBQ Pork Roll, Pork Roll","Casual Dining, Takeaway",Yes
Nam Fong,Vietnamese,N/A,,Bankstown,Lunch,8,$,9,BBQ Pork Roll,"Casual Dining, Takeaway",Yes
Italian Street Kitchen,Italian,N/A,https://italianstreetkitchen.com/au/,Neutral Bay,"Dinner, Lunch",9,$$,8,,"Casual Dining, Dine-In, Small Groups",Yes
Marilynas,Italian,N/A,https://www.marilynasfamouspizza.com.au/,Cremorne,"Dinner, Lunch",8,$$,8,,"Casual Dining, Takeaway",Yes
Sails @ Lavendar Bay,French,N/A,https://www.sailslavenderbay.com/?gclid=CjwKCAiApfeQBhAUEiwA7K_UH2BvwEy755jdkJTNBvBurkFuTh0hHGjX-cGC_H4xN_ZFGme90ZvvIRoC75wQAvD_BwE,Lavendar Bay,"Dinner, Lunch",9,$$$$,8,,"Date, Dine-In, Fine Dining, Small Groups",Yes
Ho Jiak,Malaysian,N/A,https://www.hojiak.com.au/,"CBD, Haymarket","Dinner, Lunch",7,$$,8,Chicken Laksa,"Casual Dining, Dine-In, Larger Groups, Small Groups",Yes
Kowloon Cafe,Chinese,N/A,https://www.kowlooncafe.com.au/,CBD,"Dinner, Lunch",8,$,7,,"Casual Dining, Dine-In, Small Groups",Yes
"Royal Treasure Seafood Restaurant ",Chinese,N/A,https://www.royaltreasure.com.au/,Burwood,Lunch,7,$$,8,Yum Cha,"Casual Dining, Dine-In, Larger Groups, Small Groups",Yes
Bay Vista,Cafe,N/A,https://www.bayvista.com.au/,"Brighton Le Sands, Parramatta","Dessert, Lunch",8,$$,9,,"Casual Dining, Dine-In, Larger Groups, Small Groups",Yes
Alberto’s Lounge,Italian,N/A,https://swillhouse.com/venues/albertos-lounge/,CBD,"Dinner, Lunch",7,$$$,7,"Spaghetti Marinara, Burrata, Pane e olio, ","Date, Dine-In, Small Groups, Upscale Dining",Yes
Tokyo Den,Japanese,N/A,,Burwood,,,,,,,No
Black Bar & Grill,,N/A,,,,,,,,,No
Bondi Buns,,N/A,,,,,,,,,No
Nikaido,,N/A,,,,,,,,,No
Ventuno Restaurant,Italian,N/A,,Walsh Bay,"Dinner, Lunch",,,,,"Dine-In, Larger Groups, Small Groups, Upscale Dining",No
Dopa,Japanese,N/A,https://www.darlingsq.com/eat-drink-shop/dopa-by-devon/,"CBD, Darling Square","Dinner, Lunch",8,$$,7,,"Casual Dining, Dine-In, Small Groups",Yes
China Lane,Asian Fusion,N/A,https://chinalane.com.au/,CBD,"Dinner, Lunch",,$$$,7,,"Date, Dine-In, Small Groups, Upscale Dining",Yes
Torotoro Ramen Bar,Japanese,https://www.instagram.com/p/CfBcy12PW-B/?utm_source=ig_web_copy_link,https://www.torotoro.com.au/,Barangaroo,"Dinner, Lunch",7,$$,7,Torotoro special,"Casual Dining, Dine-In, Small Groups",Yes
a’Mare,Italian,N/A,,,,,,,,Fine Dining,No
Ester,Modern Australian,N/A,,Chippendale,,,,,,"Date, Upscale Dining",No
Kuon Omakase,Japanese,N/A,,Darling Square,Dinner,,,,,"Date, Dine-In, Fine Dining",No
Bistecca,Italian,N/A,https://www.bistecca.com.au/,CBD,"Dinner, Lunch",9,$$$$,8,"~300g of steak pp, potatoes ","Date, Dine-In, Small Groups, Upscale Dining",Yes
Rockpool Bar and Grill,Modern Australian,N/A,https://rockpoolbarandgrill.com.au/,CBD,"Dinner, Lunch",9,"$$$, $$$$",8,,"Date, Dine-In, Upscale Dining",Yes
Mister Gees,American,N/A,https://www.mistergee.com.au/,North Strathfield,"Dinner, Lunch",9,$$,9,,"Casual Dining, Dine-In, Larger Groups, Small Groups, Takeaway",Yes
Sushi Komaru,Japanese,N/A,,Neutral Bay,Dinner,,,,,,No
Spice Temple,,N/A,,,,,,,,,No
The Gidley,Modern Australian,N/A,,CBD,Dinner,,,,,"Date, Dine-In, Small Groups, Upscale Dining",Yes
Gaku Robata Grill,,N/A,,,,,,,,,No
Legend Hotpot Buffet,Chinese,N/A,http://legendhotpot.com.au/,Burwood,Dinner,8,$$$,10,AYCE Buffet,"Dine-In, Larger Groups, Small Groups, Upscale Dining",Yes
Marble BBQ,,N/A,,,,,,,,,No
Kahii Kissaten,,N/A,,,,,,,,,No
Cucina Porto,Italian,N/A,,Pyrmont,"Dinner, Lunch",8,$$,7,,"Date, Dine-In, Small Groups, Upscale Dining",Yes
"Sagra Restaurant ",Italian,N/A,https://www.sydneysagra.com.au/,Darlinghurst,Dinner,,,,,"Dine-In, Upscale Dining",No
Social Society,Cafe,https://www.instagram.com/p/CgeEOU4vIdo/?utm_source=ig_web_copy_link,https://socialsocietysydney.com/,Zetland,"Breakfast, Brunch, Lunch",8,$$,8,Chix & Waffles,"Casual Dining, Dine-In, Small Groups",Yes
American BBQ Kitchen,American,https://www.instagram.com/p/CgMNclmP92u/?utm_source=ig_web_copy_link,https://www.facebook.com/AmericanBBQKitchen/,Pop Up,Dinner,8,$$,10,"Double Fried Chicken Sandwich ($20)
Triple Cracker Burger ($20)
Cheesy Loaded Fries ($15)",Takeaway,Yes
Bopp and Tone,Mediterranean,N/A,,CBD,Dinner,9,$$$$,6,,"Date, Dine-In, Small Groups, Upscale Dining",Yes
Mode Kitchen & Bar,,N/A,,,,,,,,,No
Jasmine1,Lebanese,N/A,,Bankstown,,,,,,,No
Where’s Wolli,Cafe,https://www.instagram.com/p/Cgtq4N5PDxp/?igshid=YmMyMTA2M2Y=,https://ippuku.com.au/,Wolli Creek,"Breakfast, Brunch, Lunch",9,$$,10,Breakfeast Deluxe,"Casual Dining, Dine-In, Small Groups",Yes
Cubby’s Kitchen,Lebanese,,,CBD,Dinner,8,$$$,10,Banquet,"Dine-In, Larger Groups, Small Groups, Upscale Dining",Yes
My Mothers Cousin,Italian,N/A,,Bexley North,Dinner,,,,,,No
Super Nash Brothers,American,N/A,,Waterloo,"Dinner, Lunch",7,$$,7,,"Casual Dining, Dine-In, Small Groups, Takeaway",Yes
Ippuku,Japanese,N/A,,Rosebery,"Breakfast, Brunch, Lunch",8,"$, $$",7,Poke Bowl / Sandos,"Casual Dining, Dine-In, Small Groups, Takeaway",Yes
Pellegrino 2000,Italian,N/A,,Surry Hills,Dinner,9,"$$$, $$$$",7,,"Date, Dine-In, Small Groups, Upscale Dining",Yes
Cicerone Cucina Romana,Italian,N/A,https://www.ciceronesyd.com.au/,Surry Hills,Dinner,10,$$$,9,"Carbonara, Tripe","Casual Dining, Date, Dine-In, Small Groups, Upscale Dining",Yes
Ebisu Yakiniku & Yakitori,Japanese,N/A,,Chatswood,,,,,,,No
Eat at Robs,American,N/A,,Rozelle,,,,,,,No
Cheung Sing BBQ House,Chinese,N/A,,Maroubra,"Dinner, Lunch",7,$,8,,"Casual Dining, Small Groups, Takeaway",Yes
Nour,Lebanese,https://www.instagram.com/p/CpKIx67uyGr/?igshid=YmMyMTA2M2Y%3D,https://www.noursydney.com/,CBD,"Dinner, Lunch",9,$$$$,8,Banquet Menu,"Date, Dine-In, Small Groups, Upscale Dining",Yes
Ezra,Middle Eastern,,,Potts Point,"Dinner, Lunch",9,$$$,8,,"Date, Dine-In, Small Groups, Upscale Dining",Yes
Two Fives,Cafe,N/A,,Rosebery,"Breakfast, Brunch, Lunch",,"$, $$",,,"Casual Dining, Dine-In, Small Groups, Takeaway",Yes
Jambo Jambo,Ethiopian,N/A,https://merivale.com/venues/msgs/,,,,,,,,No
Frankie B’s,Italian,N/A,,Parramatta,,,,,,,No
Terracotta Roasters,Cafe,N/A,,Darlington,"Breakfast, Brunch, Lunch",,$$,7,,"Casual Dining, Dine-In, Small Groups, Takeaway",Yes
Bistro St Jacques,French,N/A,,Redfern,,,,,,,No
Bloc 145,"Cafe, Japanese",N/A,,Redfern,"Breakfast, Brunch, Lunch",,$$,,,"Casual Dining, Dine-In, Small Groups, Takeaway",No
"TakeSushi ",Japanese,N/A,,Waterloo,,,,,,,No
Holy Duck,Chinese,N/A,,Chippendale,,,,,,,No
Kazan,,N/A,,CBD,,,,,,,No
Izgara,Turkish,N/A,,Potts Point,Dinner,,,,,Upscale Dining,Yes
Ms Gs,Asian Fusion,N/A,https://merivale.com/venues/msgs/,Potts Point,"Dinner, Lunch",8,$$$,8,,"Date, Dine-In, Larger Groups, Small Groups, Upscale Dining",Yes
Firedoor,Modern Australian,N/A,,Surry Hills,"Dinner, Lunch",,"$$$$, $$$$$",,,"Date, Dine-In, Fine Dining",No
S’More,,N/A,,,,,,,,,No
Besuto,Japanese,N/A,,Circular Quay,Dinner,10,$$$$$,7,,"Date, Dine-In, Fine Dining, Small Groups",Yes
A Tavola,Italian,Coming Soon…,https://atavola.com.au/darlinghurst/,Darlinghurst,"Dinner, Lunch",9,"$$$, $$$$",9,"Bistecca, Wagyu Parpadelle","Date, Dine-In, Small Groups, Upscale Dining",Yes
"Moku ",Japanese,N/A,,Darlinghurst,"Dinner, Lunch",,,,,,No
Fred’s,Modern Australian,N/A,https://merivale.com/venues/freds/menu/,Paddington,"Dinner, Lunch",,"$$$$, $$$$$",7,,"Date, Dine-In, Fine Dining, Small Groups",Yes
"Baccomatto Osteria ",Italian,N/A,http://www.baccomattoosteria.com.au/,Randwick,"Dinner, Lunch",7,$$$,7,,"Casual Dining, Dine-In, Small Groups",Yes
Charlie & Franks,Cafe,N/A,https://www.charlieandfranks.com.au/,St Leonards,"Breakfast, Brunch, Lunch",7,"$, $$",8,"Macro Bowl (Grilled Chicken), Prawn Linguini","Casual Dining, Dine-In, Small Groups, Takeaway",Yes
Epicurean,Buffet,N/A,,,"Dinner, Lunch",,,,,,No
Time for Thai,Thai,N/A,,"Kingsford, Newtown","Dinner, Lunch",9,"$, $$",8,,"Casual Dining, Dine-In, Larger Groups, Small Groups, Takeaway",Yes
Icebergs,,,,Bondi,"Dinner, Lunch",,,,,"Date, Dine-In, Small Groups, Upscale Dining",No
Eastside Bar & Grill,,,,,,,,,,,No
Grounds of Alexandria,Cafe,N/A,,"Alexandria, CBD","Breakfast, Brunch, Dinner, Lunch",,$$,,,"Casual Dining, Dine-In, Small Groups, Takeaway",Yes
Bistro 916,French,,,Elizabeth Bay,"Dinner, Lunch",9,$$$$,8,"Snails, Duck Frites","Date, Dine-In, Small Groups, Upscale Dining",Yes
Buffalo Dining Club,,,,,,,,,,,No
Acqua E Farina,Italian,,,Potts Point,Dinner,,$$,,,"Date, Dine-In, Small Groups, Upscale Dining",Yes
Kobo Sydney,,,,,,,,,,,No
Genovese Coffee House,,,,,,,,,,,No
Valentinas,Cafe,,https://www.valentinassyd.com/,Marrickville,"Breakfast, Brunch, Lunch",7,$$,7,,"Casual Dining, Dine-In, Small Groups",Yes
Masuya,,,,,,,,,,,No
Moku,Japanese,,https://www.mokusydney.com/,Darlinghurst,"Dinner, Lunch",,,,,"Dine-In, Upscale Dining",No
Sofia on Cleveland,,,,,,,,,,Upscale Dining,No
Mimi’s,Mediterranean,,https://merivale.com/venues/mimis/,Coogee,"Dinner, Lunch",10,$$$$$,8,,"Date, Dine-In, Fine Dining, Small Groups",Yes
Turka Cafe,Turkish,,,St Leonards,Lunch,8,$$,9,,"Casual Dining, Dine-In, Larger Groups, Small Groups",Yes
Kepos Street Kitchen,Cafe,,,Redfern,"Breakfast, Brunch, Lunch",,$$,,,"Casual Dining, Dine-In, Small Groups, Takeaway",Yes
Chubby Cheeks,"Asian Fusion, Thai",https://www.instagram.com/p/CqARwalPwiK/?igshid=YmMyMTA2M2Y=,https://chubbycheekspaddo.com.au/,Paddington,Dinner,8,$$$,7,,"Date, Dine-In, Small Groups, Upscale Dining",Yes
Luho,Asian Fusion,Coming Soon…,https://www.luho.com.au/,Crows Nest,"Dinner, Lunch",8,"$$, $$$",7,"Prawn Wonton Taco, Crab Fried Rice","Casual Dining, Dine-In, Larger Groups, Small Groups",Yes
Don Giovanni Pizza Bar,Italian,,,Surry Hills,Dinner,,$$$,8,,"Casual Dining, Dine-In, Small Groups",Yes
Pizza Bros,,,,,,,,,,,No
Celsius Coffee & Dining,Cafe,,,Kirribilli,"Breakfast, Brunch, Lunch",,,,,"Casual Dining, Dine-In, Small Groups, Takeaway",No
Happyfield,Cafe,,,Haberfield,"Breakfast, Brunch, Lunch",,$$,8,,"Casual Dining, Date, Dine-In, Small Groups, Takeaway",Yes
Alex n Rolls,,,,,,,,,,,No
Aqua E Farina,Italian,,,Potts Point,Dinner,9,$$$,9,,"Casual Dining, Date, Dine-In, Small Groups",Yes
Ciao Fabbrica,,,,CBD,,,,,,,No
La Favola,Italian,,,Newtown,"Dinner, Lunch",7,$$$,7,,"Casual Dining, Dine-In, Small Groups",Yes
Parlar Potts Point,,,,Potts Point,,,,,,,No
Nikkei Bar & Restaurant,"Japanese, Peruvian",,,Surry Hills,Dinner,,$$$,,,"Date, Dine-In, Small Groups, Upscale Dining",Yes
The Woodcut Restaurant,,,,,,,,,,,No
The Brothers Cafe,Cafe,,,Haymarket,,,,,,,No
"COOH Bourke Road ",Cafe,,,Alexandria,"Breakfast, Brunch, Lunch",8,$$,8,,"Dine-In, Larger Groups, Small Groups",Yes
Louie,,,,Coogee,,,,,,,No
Zini Contemporary Gelato,Italian,,,Circular Quay,Dessert,,,,,"Casual Dining, Takeaway",Yes
Ichomie,,,,,,,,,,,No
D’s Bar and Dining,,,,,,,,,,,No
The Char Rotisserie,Western,,,"Balmain, Bondi, Bronte","Dinner, Lunch",9,$$,9,,"Casual Dining, Dine-In, Small Groups, Takeaway",Yes
"Restaurant Ka ",,,,,,,,,,,No
Fusion Point,,,,Manly,,,,,,,No
Ardi’s Block to Grill,,,,Surry Hills,,,,,,,No
Chao Praya,Thai,,,Randwick,"Dinner, Lunch",9,$$,9,,"Casual Dining, Dine-In, Small Groups, Takeaway",Yes
Chin Chin,Asian Fusion,,,CBD,Dinner,8,$$$,7,,"Date, Dine-In, Larger Groups, Small Groups, Upscale Dining",Yes
Kuro’s Kitchen,,,,,,,,,,,No
"Bastardo ",Italian,,,Surry Hills,Dinner,8,$$$,6,,"Casual Dining, Date, Dine-In, Small Groups",Yes
"Warike Restaurant ",Peruvian,,https://warikerestaurant.com/,Surry Hills,"Dinner, Lunch",10,"$$$, $$$$",8,Set Menu,Upscale Dining,Yes
"Mejico ",,,,CBD,,,,,,,No
"Indu ",,,,,,,,,,,No
"Kid Kyoto ",,,,,,,,,,,No
Aria,,,,Circular Quay,,,,,,Fine Dining,No
Six Penny,,,,,,,,,,Fine Dining,No
Ursula,,,,,,,,,,,No
Bistro Nido,French,,,CBD,Dinner,7,$$$,6,"Steak Frittes, Crepe Suzette","Date, Dine-In, Small Groups",Yes
Cucinetta Sydney,Italian,,,Woolwich,,,,,,,No
Kindred,Italian,,,Darlington,Dinner,8,$$$,7,,"Casual Dining, Date, Dine-In, Small Groups, Upscale Dining",Yes
Roast Republic,,,,,,,,,,,No
Palazzo Salato,Italian,,,CBD,Dinner,8,$$$,7,,"Date, Dine-In, Larger Groups, Small Groups, Upscale Dining",Yes
Armorica Grand Brasserie,French,,,Surry Hills,"Dinner, Lunch",,,,,"Date, Dine-In, Small Groups, Upscale Dining",No
Kiln,,,,,,,,,,,No
Spuntini,Italian,,,Concord,"Dinner, Lunch",9,$$$,8,,"Casual Dining, Dine-In, Small Groups",Yes
Promenade,Modern Australian,,,Bondi Beach,"Dinner, Lunch",8,$$$,7,"Flatbread, Rigatoni Ragu","Date, Dine-In, Small Groups, Upscale Dining",Yes
Queen Chow,Chinese,,,Enmore,"Dinner, Lunch",,,,,Upscale Dining,No
Bar Vincent,,,,,,,,,,,No
Mumu,,,,CBD,,,,,,Upscale Dining,No
Lima Nikkei Restaurant,"Chinese, Peruvian",,https://folklorrestaurant.com.au/,Dawes Point,"Dinner, Lunch",9,"$$$, $$$$",7,,Upscale Dining,Yes
The Butler,,,,,,,,,,,Yes
Matteo Downtown,Italian,,,,Dinner,,,,,,No
RK SAN,Japanese,,,Surry Hills,,,,,,,No
Macchiato,Italian,,,CBD,"Dinner, Lunch",8,"$$, $$$",9,,"Casual Dining, Dine-In, Larger Groups, Small Groups, Takeaway",Yes
"Silks Yum Cha AYCE ",,,,,,,,,,,
,,,,,,,,,,,
Longshore,Modern Australian,,,Chippendale,,,,,,,
Petermen,,,,,,,,,,,
Estabans,,,,,,,,,,,
Le foot,French,,,The Rocks,,,,,,,
Sir Braxton,,,,Rockdale,,,,,,,
Taco Street,,,,Strathfield,,,,,,,
Metisse,French,,,Potts Point,Dinner,,$$$$$,,,"Date, Dine-In, Fine Dining, Small Groups",No
The Sanderson,,,,,,,,,,,
Surlys American Tavern,American,,,Surry Hills,"Dinner, Lunch",7,$$,8,,"Casual Dining, Dine-In, Larger Groups, Small Groups",Yes
Clam Bar,,,,,,,,,,,
Sokyo,,,,,,,,,,,
Cafe Paci,Modern Australian,,,Newtown,Dinner,8,$$$,8,Salted caramel french toast with passionfruit gelato,"Date, Dine-In, Small Groups, Upscale Dining",Yes
,,,,,,,,,,,
Genovese Coffee House,,,,,,,,,,,
,,,,,,,,,,,
Funda,,,,,,,,,,,No
King Clarence,,,,CBD,Dinner,,,,,"Date, Dine-In, Larger Groups, Small Groups, Upscale Dining",Yes
Bella Brutta,,,,,,,,,,,
Bar Copains,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Callao,"Japanese, Peruvian",,,Barangaroo,Dinner,9,$$$$,7,,"Date, Dine-In, Larger Groups, Small Groups, Upscale Dining",Yes
Margaret,,,,,,,,,,,No
Don’t Tell Uncle,Indian,,,,,,,,,,No